,Recode: Race/ethnicity,,,,,,,,
Student: Full Congressional district,White,Black,Hispanic,Asian,Pacific Islander,Native American,Two or more,No response/Missing,Total
,N,N,N,N,N,N,N,N,N
CA-50,2199,119,1318,279,31,20,302,386,4654
CA-51,69,29,930,84,2,0,23,35,1172
CA-52,769,34,219,213,22,7,109,141,1514
CA-53,446,257,1391,475,37,8,197,131,2942
CA-6,797,427,1026,808,74,17,284,268,3701
CA-7,750,107,333,321,36,3,117,167,1834
CA-8,249,89,514,54,3,14,60,52,1035
CA-9,331,131,710,348,24,3,117,107,1771
CO-1,1788,486,2999,213,15,25,243,487,6256
CO-2,5475,63,1145,214,19,30,292,556,7794
CO-3,3992,61,2225,62,14,95,205,560,7214
CO-4,3779,86,1935,119,10,33,242,455,6659
CO-5,5193,434,1735,211,49,56,611,549,8838
CO-6,6890,905,3360,683,49,49,690,1134,13760
CO-7,3250,78,1781,279,17,29,211,482,6127
CT-1,1233,159,190,127,2,3,57,196,1967
CT-2,1796,54,90,139,4,2,70,146,2301
CT-3,1386,189,197,161,1,3,65,108,2110
CT-4,2800,169,341,158,3,9,88,347,3915
CT-5,1749,61,170,167,2,2,61,175,2387
DC-A,213,695,132,23,1,5,53,107,1229
DE-A,1025,277,77,112,6,5,43,74,1619
FL-1,3422,811,360,148,23,31,343,254,5392
FL-10,3213,2098,2524,454,31,33,297,508,9158
FL-11,1999,502,643,107,3,11,133,125,3523
FL-12,2776,263,793,137,11,14,175,174,4343
FL-13,1452,227,343,150,7,8,92,88,2367
FL-14,1906,1541,1732,253,8,20,263,238,5961
FL-15,1897,572,890,163,9,9,136,157,3833
FL-16,2350,433,810,132,8,14,158,209,4114
FL-17,1045,330,615,42,1,13,68,81,2195
FL-18,1744,636,780,89,9,14,114,197,3583
FL-19,1978,561,1173,87,6,9,119,211,4144
FL-2,2092,1159,275,83,6,14,168,132,3929
FL-20,1280,4022,1834,154,25,15,194,414,7938
FL-21,2845,1738,2335,316,11,15,197,449,7906
FL-22,629,331,342,25,3,1,29,101,1461
FL-23,1288,1692,2389,214,8,20,139,396,6146
FL-24,58,2086,532,24,4,9,33,123,2869
FL-25,1007,1238,5573,169,9,15,103,266,8380
FL-26,506,782,4401,120,1,11,58,172,6051
FL-27,315,331,2351,29,3,3,8,158,3198
FL-3,2319,634,397,113,11,12,181,187,3854
FL-4,1795,477,316,191,10,7,172,158,3126
FL-5,1660,2802,506,165,11,19,320,313,5796
FL-6,3080,685,628,143,11,12,192,235,4986
FL-7,2479,693,1148,214,11,15,172,254,4986
FL-8,3796,798,1123,182,13,23,325,311,6571
FL-9,688,507,2256,136,17,11,99,221,3935
GA-1,1224,983,158,85,6,14,115,103,2688
GA-10,1800,1042,279,155,4,5,109,126,3520
GA-11,1351,186,160,40,1,5,52,82,1877
GA-12,1570,1199,180,73,8,6,119,84,3239
